date,net_asset_value
2022-10-11,19379704.00
2022-10-12,19379704.00
2022-10-13,19379704.00
2022-10-14,19379704.00
2022-10-17,19379704.00
2022-10-18,19379704.00
2022-10-19,19379704.00
2022-10-20,19379704.00
2022-10-21,19379704.00
2022-10-24,19379704.00
2022-10-25,19379704.00
2022-10-26,19379704.00
2022-10-27,19379704.00
2022-10-28,19379704.00
2022-10-31,19379704.00
2022-11-01,19379704.00
2022-11-02,19379704.00
2022-11-03,19379704.00
2022-11-04,19379704.00
2022-11-07,19379704.00
2022-11-08,19379704.00
2022-11-09,19379704.00
2022-11-10,19379704.00
2022-11-11,19379704.00
2022-11-14,19379704.00
2022-11-15,19379704.00
2022-11-16,19341479.00
2022-11-17,19087804.00
2022-11-18,19089611.00
2022-11-21,18434226.00
2022-11-22,18711809.00
2022-11-23,18837604.00
2022-11-24,18434365.00
2022-11-25,18462443.00
2022-11-28,18293836.00
2022-11-29,19532604.00
2022-11-30,19532604.00
2022-12-01,19974624.00
2022-12-02,20017436.00
2022-12-05,20448614.00
2022-12-06,20769704.00
2022-12-07,20714104.00
2022-12-08,20756082.00
2022-12-09,21353504.00
2022-12-12,21478882.00
2022-12-13,21631504.00
2022-12-14,21921597.00
2022-12-15,22145665.00
2022-12-16,22143997.00
2022-12-19,21951204.00
2022-12-20,21145004.00
2022-12-21,21478604.00
2022-12-22,21881704.00
2022-12-23,21923404.00
2022-12-26,21521138.00
2022-12-27,21699753.00
2022-12-28,21699753.00
2022-12-29,21505153.00
2022-12-30,21616353.00
2023-01-03,21658192.00
2023-01-04,21588692.00
2023-01-05,22644953.00
2023-01-06,22683456.00
2023-01-09,23203733.00
2023-01-10,23387908.00
2023-01-11,23255858.00
2023-01-12,23103653.00
2023-01-13,23840353.00
2023-01-16,24200363.00
2023-01-17,24132253.00
2023-01-18,23923753.00
2023-01-19,23745972.00
2023-01-20,23465192.00
2023-01-30,23854253.00
2023-01-31,23267117.00
2023-02-01,23256136.00
2023-02-02,23132982.00
2023-02-03,22881253.00
2023-02-06,22561553.00
2023-02-07,22561553.00
2023-02-08,22561553.00
2023-02-09,22561553.00
2023-02-10,22561553.00
2023-02-13,22561553.00
2023-02-14,22561553.00
2023-02-15,22561553.00
2023-02-16,22561553.00
2023-02-17,22561553.00
2023-02-20,22561553.00
2023-02-21,22455153.00
2023-02-22,22042853.00
2023-02-23,21803453.00
2023-02-24,21404453.00
2023-02-27,21702506.00
2023-02-28,21702506.00
2023-03-01,21702506.00
2023-03-02,21702506.00
2023-03-03,21702506.00
2023-03-06,21702506.00
2023-03-07,21702506.00
2023-03-08,21702506.00
2023-03-09,21702506.00
2023-03-10,21702506.00
2023-03-13,21702506.00
2023-03-14,21702506.00
2023-03-15,21702506.00
2023-03-16,21702506.00
2023-03-17,21702506.00
2023-03-20,21702506.00
2023-03-21,21702506.00
2023-03-22,21702506.00
2023-03-23,21702506.00
2023-03-24,21702506.00
2023-03-27,21702506.00
2023-03-28,21702506.00
2023-03-29,21702506.00
2023-03-30,21836506.00
2023-03-31,22104506.00
2023-04-03,21864244.00
2023-04-04,22032012.00
2023-04-06,21795770.00
2023-04-07,21715772.00
2023-04-10,21457286.00
2023-04-11,21106206.00
2023-04-12,20417446.00
2023-04-13,20417446.00
2023-04-14,20417446.00
2023-04-17,20417446.00
2023-04-18,20417446.00
2023-04-19,20417446.00
2023-04-20,20417446.00
2023-04-21,20417446.00
2023-04-24,20417446.00
2023-04-25,20417446.00
2023-04-26,20417446.00
2023-04-27,20417446.00
2023-04-28,20417446.00
2023-05-04,20417446.00
2023-05-05,20417446.00
2023-05-08,20037154.00
2023-05-09,20056246.00
2023-05-10,20056246.00
2023-05-11,20056246.00
2023-05-12,20056246.00
2023-05-15,20056246.00
2023-05-16,20056246.00
2023-05-17,20056246.00
2023-05-18,20056246.00
2023-05-19,20056246.00
2023-05-22,20056246.00
2023-05-23,20056246.00
2023-05-24,20056246.00
2023-05-25,20056246.00
2023-05-26,20056246.00
2023-05-29,20056246.00
2023-05-30,20056246.00
2023-05-31,20056246.00
2023-06-01,20056246.00
2023-06-02,20056246.00
2023-06-05,20056246.00
2023-06-06,20056246.00
2023-06-07,20056246.00
2023-06-08,20056246.00
2023-06-09,20056246.00
2023-06-12,20056246.00
2023-06-13,20056246.00
2023-06-14,20056246.00
2023-06-15,20418994.00
2023-06-16,20969695.00
2023-06-19,20277094.00
2023-06-20,20270128.00
2023-06-21,20171701.00
2023-06-26,19825594.00
2023-06-27,19852039.00
2023-06-28,20075596.00
2023-06-29,19886353.00
2023-06-30,19927633.00
2023-07-03,20354623.00
2023-07-04,20438473.00
2023-07-05,20242135.00
